Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity,Gravity,esi,Habbitable accourding to esi
EPIC 220674823 b,244.59,8.77,2300,8.21,1.725,4670,0.571292,0,27.03902541,0.26861068,Unhabbitable
EPIC 220674823 c,244.59,2.12,805,8.9,2.836,70,13.3397,0.13,10.84435258,0.23523564,Unhabbitable
EPIC 229004835 b,121.971,4.49,804,10.4,2.332,69.7,16.141132,0.23,18.74141264,0.25645062,Unhabbitable
EPIC 249893012 b,321.296,6.39,1616,8.75,1.95,1037,3.5951,0.06,22.55095332,0.25843827,Unhabbitable
EPIC 249893012 c,321.296,1.62,990,14.67,3.67,160,15.624,0.07,10.67392289,0.19451622,Unhabbitable
EPIC 249893012 d,321.296,0.91,752,10.18,3.94,53,35.747,0.15,6.426602077,0.20209233,Unhabbitable
GJ 1132 b,12.613,5.97,584,1.83705,1.192,19.3,1.62892911,0.0118,12.67052301,0.36158321,Unhabbitable
GJ 1214 b,14.6427,2.2,596,8.17,2.742,21,1.58040433,0.063,10.64910799,0.27839216,Unhabbitable
GJ 3473 b,27.3644,5.03,773,1.86,1.264,59.4,1.1980035,0,11.40892886,0.31135508,Unhabbitable
GJ 367 b,9.41263,10.2,1365,0.633,0.699,579,0.3219225,0.06,12.69624909,0.28429496,Unhabbitable
GJ 3929 b,15.8095,7.3,568,1.75,1.09,17.3,2.616235,0,14.43481188,0.370086,Unhabbitable
GJ 486 b,8.07426,6.79,706,3,1.343,41.3,1.4671205,0,16.30028903,0.3206508,Unhabbitable
GJ 9827 b,29.661,7.19,1175,5.14,1.577,318,1.2089819,0.063,20.25469967,0.28581574,Unhabbitable
GJ 9827 c,29.661,3.7,813,1.3,1.241,73,3.648096,0.094,8.272292172,0.3105048,Unhabbitable
GJ 9827 d,29.661,2.34,681,3.53,2.022,36,6.20147,0.13,8.461326986,0.29620616,Unhabbitable
GPX-1 b,655.013,8.22242,2300,6261.21962,16.477,4650,1.744579,0,226.0105592,0.055710089,Unhabbitable
HAT-P-25 b,300.384,0.483,1182,180.84527,12.722,325,3.65281514,0.023,10.95020999,0.073314167,Unhabbitable
HAT-P-29 b,313.576,0.79,1271,243.77561,11.926,433,5.72339,0.075,16.79680644,0.070682804,Unhabbitable
HAT-P-32 b,289.205,0.108,1836,216.1244,22.194,1841,2.1500082,0.159,4.299903538,0.042689553,Unhabbitable
HAT-P-36 b,294.419,0.955,1820,611.82275,15.211,1821,1.3273466,0.063,25.91410205,0.063609167,Unhabbitable
HAT-P-58 b,515.59,0.194,1622,118.23217,14.93,1146,4.0138379,0.073,5.198069966,0.061600215,Unhabbitable
HAT-P-59 b,265.471,1.347,1278,489.45575,12.588,441.4,4.1419771,0.03,30.2709494,0.073103653,Unhabbitable
HAT-P-60 b,233.22,0.164,1772,182.43351,18.282,1634,4.7947813,0.25,5.349131574,0.051067688,Unhabbitable
HAT-P-61 b,338.84,1.8,1505,335.94463,10.077,849.5,1.90231289,0.113,32.42136249,0.087089899,Unhabbitable
HAT-P-62 b,348.815,0.77,1512,241.86742,12.027,867.2,2.6453235,0.101,16.38659899,0.074814943,Unhabbitable
HAT-P-63 b,403.458,0.54,1237,195.14664,12.543,387.4,3.377728,0.069,12.15582136,0.07366095,Unhabbitable
HAT-P-64 b,651.897,0.144,1766,184.34048,19.089,1611,4.007232,0.101,4.957702175,0.049126658,Unhabbitable
HAT-P-68 b,202.152,0.727,1028,230.10892,12.016,184.8,2.29840551,0.041,15.61851325,0.079413065,Unhabbitable
HAT-P-9 b,455.203,0.342,1540,238.05467,15.614,931,3.92281072,0.084,9.569173551,0.059392693,Unhabbitable
HATS-17 b,400.331,3.5,814,425.25654,8.709,72.7,16.254611,0.029,54.94655847,0.11210394,Unhabbitable
HATS-18 b,624.368,1.02,2060,629.3034,14.986,2990,0.8378434,0.166,27.46089562,0.061138046,Unhabbitable
HATS-36 b,856.436,2.12,1356,1022.14128,13.843,561,4.1752387,0.105,52.27289654,0.07083995,Unhabbitable
HATS-37 A b,211.896,0.55,1085,31.46517,6.793,229.7,4.3315366,0,6.682407087,0.12383634,Unhabbitable
HATS-38 b,343.525,0.403,1294,23.51942,6.882,464.7,4.375021,0,4.86657417,0.12013012,Unhabbitable
HATS-47 b,300.67,0.331,853,117.27927,12.52,87.73,3.9228038,0.088,7.332273768,0.083037241,Unhabbitable
HATS-48 A b,263.609,0.589,955,77.23269,8.967,137.6,3.1316666,0.162,9.413104882,0.10259886,Unhabbitable
HATS-49 b,324.413,0.986,835,112.19399,8.575,80.45,4.1480467,0.071,14.95296826,0.11188267,Unhabbitable
HATS-59 b,642.884,0.7,1128,256.17098,12.621,269,5.416081,0.129,15.76044486,0.074513172,Unhabbitable
HATS-60 b,486.474,0.537,1528,210.40346,12.924,903.9,3.560829,0.191,12.34482831,0.070213614,Unhabbitable
HATS-61 b,679.761,2.47,1226,1080.622,13.395,374.2,7.817953,0.092,59.02207107,0.069721617,Unhabbitable
HATS-62 b,523.067,0.076,1237,56.89157,11.825,387.4,3.2768837,0.298,3.987233741,0.07733512,Unhabbitable
