Name,Distance,Density,Temp,Mass,radius,Flux,Period,Eccentricity
EPIC 220674823 b,244.59,8.77,2300,8.21,1.725,4670,0.571292,0
EPIC 220674823 c,244.59,2.12,805,8.9,2.836,70,13.3397,0.13
EPIC 229004835 b,121.971,4.49,804,10.4,2.332,69.7,16.141132,0.23
EPIC 249893012 b,321.296,6.39,1616,8.75,1.95,1037,3.5951,0.06
EPIC 249893012 c,321.296,1.62,990,14.67,3.67,160,15.624,0.07
EPIC 249893012 d,321.296,0.91,752,10.18,3.94,53,35.747,0.15
GJ 1132 b,12.613,5.97,584,1.83705,1.192,19.3,1.62892911,0.0118
GJ 1214 b,14.6427,2.2,596,8.17,2.742,21,1.58040433,0.063
GJ 3473 b,27.3644,5.03,773,1.86,1.264,59.4,1.1980035,0
GJ 367 b,9.41263,10.2,1365,0.633,0.699,579,0.3219225,0.06
GJ 3929 b,15.8095,7.3,568,1.75,1.09,17.3,2.616235,0
GJ 486 b,8.07426,6.79,706,3,1.343,41.3,1.4671205,0
GJ 9827 b,29.661,7.19,1175,5.14,1.577,318,1.2089819,0.063
GJ 9827 c,29.661,3.7,813,1.3,1.241,73,3.648096,0.094
GJ 9827 d,29.661,2.34,681,3.53,2.022,36,6.20147,0.13
GPX-1 b,655.013,8.22242,2300,6261.21962,16.477,4650,1.744579,0
HAT-P-25 b,300.384,0.483,1182,180.84527,12.722,325,3.65281514,0.023
HAT-P-29 b,313.576,0.79,1271,243.77561,11.926,433,5.72339,0.075
HAT-P-32 b,289.205,0.108,1836,216.1244,22.194,1841,2.1500082,0.159
HAT-P-36 b,294.419,0.955,1820,611.82275,15.211,1821,1.3273466,0.063
HAT-P-58 b,515.59,0.194,1622,118.23217,14.93,1146,4.0138379,0.073
HAT-P-59 b,265.471,1.347,1278,489.45575,12.588,441.4,4.1419771,0.03
HAT-P-60 b,233.22,0.164,1772,182.43351,18.282,1634,4.7947813,0.25
HAT-P-61 b,338.84,1.8,1505,335.94463,10.077,849.5,1.90231289,0.113
HAT-P-62 b,348.815,0.77,1512,241.86742,12.027,867.2,2.6453235,0.101
HAT-P-63 b,403.458,0.54,1237,195.14664,12.543,387.4,3.377728,0.069
HAT-P-64 b,651.897,0.144,1766,184.34048,19.089,1611,4.007232,0.101
HAT-P-68 b,202.152,0.727,1028,230.10892,12.016,184.8,2.29840551,0.041
HAT-P-9 b,455.203,0.342,1540,238.05467,15.614,931,3.92281072,0.084
HATS-17 b,400.331,3.5,814,425.25654,8.709,72.7,16.254611,0.029
HATS-18 b,624.368,1.02,2060,629.3034,14.986,2990,0.8378434,0.166
HATS-36 b,856.436,2.12,1356,1022.14128,13.843,561,4.1752387,0.105
HATS-37 A b,211.896,0.55,1085,31.46517,6.793,229.7,4.3315366,0
HATS-38 b,343.525,0.403,1294,23.51942,6.882,464.7,4.375021,0
HATS-47 b,300.67,0.331,853,117.27927,12.52,87.73,3.9228038,0.088
HATS-48 A b,263.609,0.589,955,77.23269,8.967,137.6,3.1316666,0.162
HATS-49 b,324.413,0.986,835,112.19399,8.575,80.45,4.1480467,0.071
HATS-59 b,642.884,0.7,1128,256.17098,12.621,269,5.416081,0.129
HATS-60 b,486.474,0.537,1528,210.40346,12.924,903.9,3.560829,0.191
HATS-61 b,679.761,2.47,1226,1080.622,13.395,374.2,7.817953,0.092
HATS-62 b,523.067,0.076,1237,56.89157,11.825,387.4,3.2768837,0.298
HATS-63 b,623.232,0.67,1398,305.1168,13.529,634.1,3.0566527,0.136
HATS-64 b,1080.15,0.245,1793,305.1168,18.82,1711,4.908897,0.151
HATS-65 b,493.32,0.3,1634,260.93843,16.825,1178,3.105161,0.062
HATS-66 b,1477.98,2.34,1998,1694.0339,15.816,2637,3.1414391,0.064
